"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.686822960E1,6.515457628E1,2.569000387E1,3.758451517E1,1.519999981E0,1.198000031E2,3.790092468E0,2.500000000E0
8.786785752E1,6.515457018E1,2.569003387E1,3.764469697E1,1.519999981E0,1.179000015E2,3.790092468E0,2.500000000E0
8.886775481E1,6.515456354E1,2.569006488E1,3.743412692E1,1.519999981E0,1.195999985E2,3.790092468E0,2.500000000E0
8.986755111E1,6.515455693E1,2.569009420E1,3.731498754E1,1.500000000E0,1.209000015E2,3.790092468E0,2.500000000E0
9.086797611E1,6.515454973E1,2.569012378E1,3.727128772E1,1.539999962E0,1.220000000E2,3.790092468E0,2.500000000E0
9.186786095E1,6.515454257E1,2.569015019E1,3.692106936E1,1.519999981E0,1.226999969E2,3.790092468E0,2.500000000E0
9.286788783E1,6.515453570E1,2.569017867E1,3.659337290E1,1.529999971E0,1.221999969E2,3.790092468E0,2.500000000E0
9.386786049E1,6.515452902E1,2.569020534E1,3.644035902E1,1.549999952E0,1.231999969E2,3.790092468E0,2.500000000E0
9.486797351E1,6.515452127E1,2.569023380E1,3.631096597E1,1.539999962E0,1.236999969E2,3.790092468E0,2.500000000E0
9.586773486E1,6.515451325E1,2.569026202E1,3.623442941E1,1.559999943E0,1.235000000E2,3.790092468E0,2.500000000E0
9.686820408E1,6.515450494E1,2.569028848E1,3.615886948E1,1.519999981E0,1.245999985E2,3.790092468E0,2.500000000E0
9.786755913E1,6.515449751E1,2.569031443E1,3.595434209E1,1.570000052E0,1.243000031E2,3.790092468E0,2.500000000E0
9.886744871E1,6.515448996E1,2.569034176E1,3.601708766E1,1.539999962E0,1.219000015E2,3.790092468E0,2.500000000E0
9.986756626E1,6.515448301E1,2.569036897E1,3.599017247E1,1.490000010E0,1.221999969E2,3.790092468E0,2.500000000E0
1.008673770E2,6.515447559E1,2.569039575E1,3.622229058E1,1.509999990E0,1.226999969E2,3.790092468E0,2.500000000E0
1.018681400E2,6.515446848E1,2.569042487E1,3.643402287E1,1.539999962E0,1.218000031E2,3.790092468E0,2.500000000E0
1.028679010E2,6.515446127E1,2.569045313E1,3.660437336E1,1.539999962E0,1.234000015E2,3.790092468E0,2.500000000E0
1.038675573E2,6.515445411E1,2.569047754E1,3.638849337E1,1.450000048E0,1.266999969E2,3.790092468E0,2.500000000E0
