"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.688708824E0,-3.190276027E-2,-7.407426834E-2,2.843322754E-1
1.693708824E0,-7.336020470E-2,-7.155752182E-2,2.942419052E-1
1.698708824E0,-8.863347769E-2,-6.115627289E-2,2.834644318E-1
1.703708824E0,-6.622308493E-2,-5.401086807E-2,2.686519623E-1
1.708708824E0,-4.872798920E-3,-6.751155853E-2,2.002286911E-1
1.713708824E0,2.544119954E-2,-6.867980957E-2,1.141252518E-1
1.718708824E0,6.909602880E-2,-5.963087082E-2,6.802272797E-2
1.723708824E0,1.099598110E-1,-4.423666000E-2,4.984664917E-2
1.728708824E0,1.591676772E-1,-4.157066345E-2,7.537841797E-2
1.733708824E0,2.035478354E-1,-4.566097260E-2,9.003829956E-2
1.738708824E0,2.285560966E-1,-2.922677994E-2,1.147813797E-1
1.743708824E0,2.163791955E-1,-1.697015762E-2,1.314697266E-1
1.748708824E0,1.741623580E-1,-6.771087646E-3,1.524553299E-1
1.753708824E0,1.592090726E-1,-8.347034454E-3,1.897239685E-1
1.758708824E0,1.501995623E-1,-8.183956146E-3,2.300605774E-1
1.763708824E0,1.662087739E-1,-2.293729782E-2,2.454690933E-1
1.768708824E0,1.790622175E-1,-4.847431183E-2,2.313890457E-1
1.773708824E0,1.509899199E-1,-3.702259064E-2,2.242527008E-1
1.778708824E0,1.148180962E-1,-2.722358704E-2,2.189140320E-1
1.783708824E0,8.209234476E-2,-2.139902115E-2,2.408971786E-1
1.788708824E0,4.277062416E-2,-6.493568420E-3,2.448549271E-1
1.793708824E0,2.488076687E-2,-7.380962372E-3,2.259759903E-1
1.798708824E0,3.680950403E-2,-1.861524582E-2,1.953125000E-1
1.803708824E0,1.969906688E-2,-1.518011093E-2,1.730394363E-1
1.808708824E0,-6.139814854E-3,-1.991128922E-2,1.563434601E-1
1.813708824E0,-1.530104876E-2,-2.045536041E-2,1.397657394E-1
1.818708824E0,-4.687547684E-3,-2.120828629E-2,1.152563095E-1
1.823708824E0,1.512634754E-2,-2.896213531E-2,9.285259247E-2
